Unnamed: 0,Buyer,Country,Email,Phone,Website,Address,Status,GTIP,Description,Invoices,USD
0.0,MOVE ON ENERGY GMBH,ALMANYA,"[""info@moveon-energy.de""]","[""+49 (0) 3433 859 97-0"",""+49 3433 2481015""]","[""https://www.moveon-energy.de""]","[""Glück-Auf-Strasse 35/37, 04575 Neukieritzsch Lobstädt, Germany""]",,Profiller,"ISOBEAM TFX-1200,ISOBEAM TFX-2700,ISOBEA/M 60/1700 - N | ISOTRAP S20/380 - SH,EASYCLAMP END U60 V/.2-P,EASYCLAMP MİD V3 ORTA - P,ISOTRAP MINI V.3 150 | ISOTRAP S50/540,ISOTRAP S50/290,ISOTRAP /XLA -S1,ISOBEAM 60/1700 - N | TFX KONEKTÖR-150 (TİLE),EASYCLAMP END U60 V.2-P,EASYCLAMP MİD V3 ORTA - P,ISOBEAM TFX-1400 - ANA SET+,ISOFLAT BS.3,ISOTILE ALU",315,"$33,945,257"
1.0,CHALISHKAN COMPANY FOR GENERAL TRADING,IRAK,chalishkancompany@gmail.com,9647514504009; 9647504557607; 9647514554426,https://chalishkan.com,Ibrahim Khalil Road Ferdows Oil Behind ZAKHO/IRAQ,,Profiller | İçi boş profiller,"A10E201 S�4B�NEKLİ21K 21.3*108A MM KUTU 902 16 PARLAK/A1874 40*40 KULAKLI ÖZEL KUTU 1013 PARLAK PROFİL/GEMA A18+76 40*40*0,75 KUTU ÖZEL 1013 PARLAK/A1874 40*40 KULAKLI ÖZEL KUTU 1013 PARLAK PROFİL | ALUMINYUM PROFIL BOY-ALI | ALUMINYUM PROFİL BOY-ALI | ALUMİNYUM PROFİL BOY-ALI | ALÜMINYUM PROFİL BOY-ALI | ALÜMİNYUM DOĞRAMA | ALÜMİNYUM PROFİL BOY-ALI | ALÜMİNYUM PROFİL BOYALI | ALÜMİNYUM }PROFİL",354,"$31,827,495"
2.0,ERD METAL INC.,BIRLEŞIK DEVLETLER,"[""info@erdmetal.com""]","[""+1 413 579 5174"",""508-510-4757""]","[""https://erdmetal.com/""]","[""323 Lockhouse Rd, Westfield, MA 01085, United States""]",,Profiller | İçi boş profiller,ALÜMINYUM PROFIL (10- AD) | ALÜMINYUM PROFIL (10-3 AD) | ALÜMINYUM PROFIL (2720 AD) | ALÜMİNYUM PROFİL ( 1-016 AD) | ALÜMİNYUM PROFİL ( 1-1821 AD) | ALÜMİNYUM PROFİL ( 1-287 AD) | ALÜMİNYUM PROFİL ( 1-36 AD) | ALÜMİNYUM PROFİL ( 1-485 AD) | ALÜMİNYUM PROFİL ( 1-60 AD) | ALÜMİNYUM PROFİL ( 1-788 AD) | ALÜMİNYUM PROFİL ( 1-904 AD) | ALÜMİNYUM PROFİL ( 1-916 AD) | ALÜMİNYUM PROFİL ( 2-034 AD) | ALÜMİNYUM PROFİL ( 2-112 AD) | ALÜMİNYUM PROFİL ( 2-223 AD) | ALÜMİNYUM PROFİL ( 2-478 AD) | ALÜMİNYUM PROFİL ( 2-63 AD) | ALÜMİNYUM PROFİL ( 2-797 AD) | ALÜMİNYUM PROFİL ( 2-861 AD) | ALÜMİNYUM PROFİL ( 2-88 AD) | ALÜMİNYUM PROFİL ( 3-044 AD) | ALÜMİNYUM PROFİL ( 3-254 AD) | ALÜMİNYUM PROFİL ( 3-290 AD) | ALÜMİNYUM PROFİL ( 3-680 AD) | ALÜMİNYUM PROFİL ( 3-840 AD) | ALÜMİNYUM PROFİL ( 3-8480 AD) | ALÜMİNYUM PROFİL ( 4-0025 AD) | ALÜMİNYUM PROFİL ( 4-15 AD) | ALÜMİNYUM PROFİL ( 4-288 AD) | ALÜMİNYUM PROFİL ( 4-4754 AD) | ALÜMİNYUM PROFİL ( 4-78 AD) | ALÜMİNYUM PROFİL ( 4-85 AD) | ALÜMİNYUM PROFİL ( 5-494 AD) | ALÜMİNYUM PROFİL ( 5-651 AD) | ALÜMİNYUM PROFİL ( 5-72 AD) | ALÜMİNYUM PROFİL ( 6-18 AD) | ALÜMİNYUM PROFİL ( 6-400 AD) | ALÜMİNYUM PROFİL ( 6-764 AD) | ALÜMİNYUM PROFİL ( 7-03 AD) | ALÜMİNYUM PROFİL ( 8-16 AD) | ALÜMİNYUM PROFİL ( 8-965 AD) | ALÜMİNYUM PROFİL (10- AD) | ALÜMİNYUM PROFİL (10-090 AD) | ALÜMİNYUM PROFİL (10-34 AD) | ALÜMİNYUM PROFİL (10-76 AD) | ALÜMİNYUM PROFİL (10-87  AD) | ALÜMİNYUM PROFİL (11060 AD) | ALÜMİNYUM PROFİL (12-12 AD) | ALÜMİNYUM PROFİL (12-55  AD) | ALÜMİNYUM PROFİL (13-306 AD) | ALÜMİNYUM PROFİL (13-86 AD) | ALÜMİNYUM PROFİL (1374 AD) | ALÜMİNYUM PROFİL (14-40 AD) | ALÜMİNYUM PROFİL (18-00 AD) | ALÜMİNYUM PROFİL (1967 AD) | ALÜMİNYUM PROFİL (20- AD) | ALÜMİNYUM PROFİL (2114 AD) | ALÜMİNYUM PROFİL (2975 AD) | ALÜMİNYUM PROFİL (32- AD) | ALÜMİNYUM PROFİL (3363 AD) | ALÜMİNYUM PROFİL (3402 AD) | ALÜMİNYUM PROFİL (3680 AD) | ALÜMİNYUM PROFİL (3696 AD) | ALÜMİNYUM PROFİL (3714 AD) | ALÜMİNYUM PROFİL (3840 AD) | ALÜMİNYUM PROFİL (3892 AD) | ALÜMİNYUM PROFİL (4186 AD) | ALÜMİNYUM PROFİL (44-53 AD) | ALÜMİNYUM PROFİL (45-64 AD) | ALÜMİNYUM PROFİL (5234 AD) | ALÜMİNYUM PROFİL (5358 AD) | ALÜMİNYUM PROFİL (5420 AD) | ALÜMİNYUM PROFİL (60-  AD) | ALÜMİNYUM PROFİL (60- AD) | ALÜMİNYUM PROFİL (64-00 AD) | ALÜMİNYUM PROFİL (6400 AD) | ALÜMİNYUM PROFİL (651 AD) | ALÜMİNYUM PROFİL (7732 AD) | ALÜMİNYUM PROFİL (8454 AD) | ALÜMİNYUM PROFİL (8628 AD),627,"$21,764,557"
3.0,LIPPERT COMPONENTS INC,BIRLEŞIK DEVLETLER,"[""customerservice@lci1.com"",""sales@orders.lippert.com"",""Investors@LCI1.com""]","[""+1-574-535-1125"",""+1-432-547-7378"",""+1-817-790-8322""]","[""https://www.lippert.com"",""https://www.lci1.com""]","[""3501 CR 6 East, Elkhart, Indiana 46514, United States"",""52567 Independence Ct, Elkhart, IN 46514, United States"",""408 South Byrkit Ave, Mishawaka, IN 46544, United States""]",,İçi boş profiller,ALÜMİNYUM PROFİL(BOY-ALI) | ALÜMİNYUM PROFİL(BOYALI),1555,"$20,778,925"
4.0,SALAR AHMED SAHSUVAR COMPANY,IRAK,info@salarcompany.co; info@salarcompany.com,7703503909; 7704532000; 7701588695; 533262226; 7501558066; 7481561136; 9647501258000,https://www.salarcompany.co; www.salarcompany.com,"1 - Sulaimaniyah / Chwarbakh/ near Palace Hotel/ Behind Chwarbakh Palace; 2 - Sulaimaniyah/ Malik Mahmood Street / Above Binay Gas Station / Next to Spacetoon; Sulaimaniya, As Sulaymaniyah, Iraq",,Profiller,ALUMİNYUM PROFİL (BO-YALI) | ALUMİNYUM PROFİL(BOY-ALI) | ALÜMİNYUM PROFİL (BO-YALI) | ALÜMİNYUM PROFİL (BOYALI) | ALÜMİNYUM PROFİL (BOYASIZ VE KAPLAMASIZ) | ALÜMİNYUM PROFİL (BOYASIZ VE KAPLAMASIZ)/ | ALÜMİNYUM PROFİL(BOYASIZ VE KAPLAMASIZ)/,708,"$19,134,559"
5.0,"HP STEEL, S.R.O.",ÇEK CUMHURİYETİ,"[""info@alutern.cz""]","[""+420739376058""]","[""http://www.hpsteel.cz""]","[""Tuřanka 115/1222, 627 00 Brno-Slatina, okres Brno-město, Jihomoravský kraj, Česká republika""]",,Profiller | İçi boş profiller,DUŞ KABINI AKSAMI/AL-UMİNYUM PROFİL | DUŞ KABINI AKSAMI/ALUMİNYUM PROFİL | DUŞ KABINI} AKSAMI,394,"$17,758,434"
6.0,"DURA AUTOMOTIVE CZ, K.S.",ÇEK CUMHURİYETİ,"[""blatna.cz@duraauto.com""]","[""+420383451111"",""+420383451250""]","[""http://www.duraauto.com""]","[""Riegrova 495, 388 01 Blatná, Czech Republic""]",,Profiller,"ALÜMİNYUM PROFİL (BOYASIZ, İZOLASYONSUZ) | ALÜMİNYUM PROFİL (BOYASIZ, İZOLASYONSUZ)/",259,"$16,481,658"
7.0,ASTAS BELCIKA,ALMANYA,"[""info@astas-holding.com""]","[""+902122152020"",""02122152020"",""02122152000""]","[""https://www.astas-holding.com""]","[""Astaş Holding A.Ş Büyükdere Cad. No:127 Astoria Kuleleri B Blok K:25 Esentepe 34394 İstanbul - Türkiye""]",,Profiller,** ALÜMİNYUM PROFİL -2023/D1-01165  ** | ** ALÜMİNYUM PROFİL -2023/D1-04469  ** | ** ALÜMİNYUM PROFİL -2023/D1-06168  ** | ** ALÜMİNYUM PROFİL 2023/D1-01165  **,529,"$16,087,600"
8.0,ALUTERN S.R.O BG,BULGARİSTAN,info@alutern.cz,420739376058,https://alutern.cz/en/,ALUTERN s.r.o. Turanka 1579/115c 627 00 Brno - Slatina Czech Republic,,İçi boş profiller,"ALÜMİNYUM PROFİL*5621-65L,ALÜMİNYUM PROFİL*5621-65R,ALÜMİNYUM PROFİL*5621-78L,ALÜMİNYUM PROFİL*5621-78R,ALÜMİNYUM PROFİL*5664-76L,ALÜMİNYUM PROFİL*5664-76R | ALÜMİNYUM PROFİL*579-1-729L | ALÜMİNYUM PROFİL*579-1-729R",407,"$13,091,158"
9.0,MB VERANDA B.V.,HOLLANDA,"[""info@mbveranda.nl"",""deventer@mbveranda.nl""]","[""+31850187567"",""+31570785909"",""+31687863909""]","[""https://mbveranda.nl/""]","[""Ambachtsweg 12, 5627BZ Eindhoven, Netherlands"",""Adriaan Mulderweg 4, 5657EM Eindhoven, Netherlands""]",,Profiller | İçi boş profiller,AL.DOĞRAMA ALÜMİNYUM- DOĞRAMA NUMUNE | ALUMİNYUM PROFİL (BO-YALI) | ALUMİNYUM PROFİL(BOY-ALI) | ALUMİNYUM PROFİL(BOYALI) | ALÜMİNYUM PROFİL (BO-YALI) | ALÜMİNYUM PROFİL (BOYALI) | ALÜMİNYUM PROFİL (BOYASIZ VE KAPLAMASIZ) | ALÜMİNYUM PROFİL (BOYASIZ VE KAPLAMASIZ)/ | ALÜMİNYUM PROFİL(BOYASIZ VE KAPLAMASIZ) | ALÜMİNYUM PROFİL(BOYASIZ VE KAPLAMASIZ)/ | ALÜMİNYUM PROFİLDEN ÇİT NUMUNESİ,480,"$12,863,029"
