Buyer,Country,Invoices,USD,GTIP,Description,Email,Website,Phone
MOVE ON ENERGY GMBH,ALMANYA,315,"$33,945,257",Profiller,"ISOBEAM TFX-1200,ISOBEAM TFX-2700,ISOBEA/M 60/1700 - N | ISOTRAP S20/380 - SH,EASYCLAMP END U60 V/.2-P,EASYCLAMP MİD V3 ORTA - P,ISOTRAP MINI V.3 150 | ISOTRAP S50/540,ISOTRAP S50/290,ISOTRAP /XLA -S1,ISOBEAM 60/1700 - N | TFX KONEKTÖR-150 (TİLE),EASYCLAMP END U60 V.2-P,EASYCLAMP MİD V3 ORTA - P,ISOBEAM TFX-1400 - ANA SET+,ISOFLAT BS.3,ISOTILE ALU",info@moveon-energy.de,https://www.moveon-energy.de,"+49 (0) 3433 859 97-0, +49 3433 2481015"
CHALISHKAN COMPANY FOR GENERAL TRADING,IRAK,354,"$31,827,495",Profiller | İçi boş profiller,"A10E201 S�4B�NEKLİ21K 21.3*108A MM KUTU 902 16 PARLAK/A1874 40*40 KULAKLI ÖZEL KUTU 1013 PARLAK PROFİL/GEMA A18+76 40*40*0,75 KUTU ÖZEL 1013 PARLAK/A1874 40*40 KULAKLI ÖZEL KUTU 1013 PARLAK PROFİL | ALUMINYUM PROFIL BOY-ALI | ALUMINYUM PROFİL BOY-ALI | ALUMİNYUM PROFİL BOY-ALI | ALÜMINYUM PROFİL BOY-ALI | ALÜMİNYUM DOĞRAMA | ALÜMİNYUM PROFİL BOY-ALI | ALÜMİNYUM PROFİL BOYALI | ALÜMİNYUM }PROFİL",chalishkancompany@gmail.com,https://chalishkan.com,"9647514504009, 9647504557607, 9647514554426"
ERD METAL INC.,BIRLEŞIK DEVLETLER,627,"$21,764,557",Profiller | İçi boş profiller,ALÜMINYUM PROFIL (10- AD) | ALÜMINYUM PROFIL (10-3 AD) | ALÜMINYUM PROFIL (2720 AD) | ALÜMİNYUM PROFİL ( 1-016 AD) | ALÜMİNYUM PROFİL ( 1-1821 AD) | ALÜMİNYUM PROFİL ( 1-287 AD) | ALÜMİNYUM PROFİL ( 1-36 AD) | ALÜMİNYUM PROFİL ( 1-485 AD) | ALÜMİNYUM PROFİL ( 1-60 AD) | ALÜMİNYUM PROFİL ( 1-788 AD) | ALÜMİNYUM PROFİL ( 1-904 AD) | ALÜMİNYUM PROFİL ( 1-916 AD) | ALÜMİNYUM PROFİL ( 2-034 AD) | ALÜMİNYUM PROFİL ( 2-112 AD) | ALÜMİNYUM PROFİL ( 2-223 AD) | ALÜMİNYUM PROFİL ( 2-478 AD) | ALÜMİNYUM PROFİL ( 2-63 AD) | ALÜMİNYUM PROFİL ( 2-797 AD) | ALÜMİNYUM PROFİL ( 2-861 AD) | ALÜMİNYUM PROFİL ( 2-88 AD) | ALÜMİNYUM PROFİL ( 3-044 AD) | ALÜMİNYUM PROFİL ( 3-254 AD) | ALÜMİNYUM PROFİL ( 3-290 AD) | ALÜMİNYUM PROFİL ( 3-680 AD) | ALÜMİNYUM PROFİL ( 3-840 AD) | ALÜMİNYUM PROFİL ( 3-8480 AD) | ALÜMİNYUM PROFİL ( 4-0025 AD) | ALÜMİNYUM PROFİL ( 4-15 AD) | ALÜMİNYUM PROFİL ( 4-288 AD) | ALÜMİNYUM PROFİL ( 4-4754 AD) | ALÜMİNYUM PROFİL ( 4-78 AD) | ALÜMİNYUM PROFİL ( 4-85 AD) | ALÜMİNYUM PROFİL ( 5-494 AD) | ALÜMİNYUM PROFİL ( 5-651 AD) | ALÜMİNYUM PROFİL ( 5-72 AD) | ALÜMİNYUM PROFİL ( 6-18 AD) | ALÜMİNYUM PROFİL ( 6-400 AD) | ALÜMİNYUM PROFİL ( 6-764 AD) | ALÜMİNYUM PROFİL ( 7-03 AD) | ALÜMİNYUM PROFİL ( 8-16 AD) | ALÜMİNYUM PROFİL ( 8-965 AD) | ALÜMİNYUM PROFİL (10- AD) | ALÜMİNYUM PROFİL (10-090 AD) | ALÜMİNYUM PROFİL (10-34 AD) | ALÜMİNYUM PROFİL (10-76 AD) | ALÜMİNYUM PROFİL (10-87  AD) | ALÜMİNYUM PROFİL (11060 AD) | ALÜMİNYUM PROFİL (12-12 AD) | ALÜMİNYUM PROFİL (12-55  AD) | ALÜMİNYUM PROFİL (13-306 AD) | ALÜMİNYUM PROFİL (13-86 AD) | ALÜMİNYUM PROFİL (1374 AD) | ALÜMİNYUM PROFİL (14-40 AD) | ALÜMİNYUM PROFİL (18-00 AD) | ALÜMİNYUM PROFİL (1967 AD) | ALÜMİNYUM PROFİL (20- AD) | ALÜMİNYUM PROFİL (2114 AD) | ALÜMİNYUM PROFİL (2975 AD) | ALÜMİNYUM PROFİL (32- AD) | ALÜMİNYUM PROFİL (3363 AD) | ALÜMİNYUM PROFİL (3402 AD) | ALÜMİNYUM PROFİL (3680 AD) | ALÜMİNYUM PROFİL (3696 AD) | ALÜMİNYUM PROFİL (3714 AD) | ALÜMİNYUM PROFİL (3840 AD) | ALÜMİNYUM PROFİL (3892 AD) | ALÜMİNYUM PROFİL (4186 AD) | ALÜMİNYUM PROFİL (44-53 AD) | ALÜMİNYUM PROFİL (45-64 AD) | ALÜMİNYUM PROFİL (5234 AD) | ALÜMİNYUM PROFİL (5358 AD) | ALÜMİNYUM PROFİL (5420 AD) | ALÜMİNYUM PROFİL (60-  AD) | ALÜMİNYUM PROFİL (60- AD) | ALÜMİNYUM PROFİL (64-00 AD) | ALÜMİNYUM PROFİL (6400 AD) | ALÜMİNYUM PROFİL (651 AD) | ALÜMİNYUM PROFİL (7732 AD) | ALÜMİNYUM PROFİL (8454 AD) | ALÜMİNYUM PROFİL (8628 AD),info@erdmetal.com,https://erdmetal.com/,"+1 413 579 5174, 508-510-4757"
LIPPERT COMPONENTS INC,BIRLEŞIK DEVLETLER,1555,"$20,778,925",İçi boş profiller,ALÜMİNYUM PROFİL(BOY-ALI) | ALÜMİNYUM PROFİL(BOYALI),"sales@orders.lippert.com, customerservice@lci1.com, Investors@LCI1.com","https://www.lippert.com, https://www.lci1.com","+1-574-535-1125, +1-432-547-7378, +1-817-790-8322"
SALAR AHMED SAHSUVAR COMPANY,IRAK,708,"$19,134,559",Profiller,ALUMİNYUM PROFİL (BO-YALI) | ALUMİNYUM PROFİL(BOY-ALI) | ALÜMİNYUM PROFİL (BO-YALI) | ALÜMİNYUM PROFİL (BOYALI) | ALÜMİNYUM PROFİL (BOYASIZ VE KAPLAMASIZ) | ALÜMİNYUM PROFİL (BOYASIZ VE KAPLAMASIZ)/ | ALÜMİNYUM PROFİL(BOYASIZ VE KAPLAMASIZ)/,"info@salarcompany.co, info@salarcompany.com","https://www.salarcompany.co, www.salarcompany.com","7703503909, 7704532000, 7701588695, 533262226, 7501558066, 7481561136, 9647501258000"
"HP STEEL, S.R.O.",ÇEK CUMHURİYETİ,394,"$17,758,434",Profiller | İçi boş profiller,DUŞ KABINI AKSAMI/AL-UMİNYUM PROFİL | DUŞ KABINI AKSAMI/ALUMİNYUM PROFİL | DUŞ KABINI} AKSAMI,info@alutern.cz,http://www.hpsteel.cz,+420739376058
"DURA AUTOMOTIVE CZ, K.S.",ÇEK CUMHURİYETİ,259,"$16,481,658",Profiller,"ALÜMİNYUM PROFİL (BOYASIZ, İZOLASYONSUZ) | ALÜMİNYUM PROFİL (BOYASIZ, İZOLASYONSUZ)/",blatna.cz@duraauto.com,http://www.duraauto.com,"+420383451111, +420383451250"
ASTAS BELCIKA,ALMANYA,529,"$16,087,600",Profiller,** ALÜMİNYUM PROFİL -2023/D1-01165  ** | ** ALÜMİNYUM PROFİL -2023/D1-04469  ** | ** ALÜMİNYUM PROFİL -2023/D1-06168  ** | ** ALÜMİNYUM PROFİL 2023/D1-01165  **,info@astas-holding.com,https://www.astas-holding.com,"+902122152020, 02122152020, 02122152000"
ALUTERN S.R.O BG,BULGARİSTAN,407,"$13,091,158",İçi boş profiller,"ALÜMİNYUM PROFİL*5621-65L,ALÜMİNYUM PROFİL*5621-65R,ALÜMİNYUM PROFİL*5621-78L,ALÜMİNYUM PROFİL*5621-78R,ALÜMİNYUM PROFİL*5664-76L,ALÜMİNYUM PROFİL*5664-76R | ALÜMİNYUM PROFİL*579-1-729L | ALÜMİNYUM PROFİL*579-1-729R",info@alutern.cz,https://alutern.cz/en/,420739376058
MB VERANDA B.V.,HOLLANDA,480,"$12,863,029",Profiller | İçi boş profiller,AL.DOĞRAMA ALÜMİNYUM- DOĞRAMA NUMUNE | ALUMİNYUM PROFİL (BO-YALI) | ALUMİNYUM PROFİL(BOY-ALI) | ALUMİNYUM PROFİL(BOYALI) | ALÜMİNYUM PROFİL (BO-YALI) | ALÜMİNYUM PROFİL (BOYALI) | ALÜMİNYUM PROFİL (BOYASIZ VE KAPLAMASIZ) | ALÜMİNYUM PROFİL (BOYASIZ VE KAPLAMASIZ)/ | ALÜMİNYUM PROFİL(BOYASIZ VE KAPLAMASIZ) | ALÜMİNYUM PROFİL(BOYASIZ VE KAPLAMASIZ)/ | ALÜMİNYUM PROFİLDEN ÇİT NUMUNESİ,"deventer@mbveranda.nl, info@mbveranda.nl",https://mbveranda.nl/,"+31850187567, +31570785909, +31687863909"
