Buyer,Country,Invoices,USD,Email,Website,Phone,Address
GEO IMPEX LLC,GÜRCİSTAN,526,"$6,003,768","[""geoimpex2010@gmail.com""]","[""http://geoimpex.tech/""]","[""+995595004030"",""+995790969449"",""+995322747001""]","[""M/DISTRICT BUILDING 1, SUITE 21, GLDANI TBILISI, GEORGIA"",""Georgia, St. In Tbilisi's Gldani district, Gldani VII M/R, Corp. apartment No. 1, No. 21""]"
LTD UPTRADE,GÜRCİSTAN,104,"$5,271,647","[""Info@uptrade.ge""]","[""https://uptrade.ge""]","[""+995555111401""]","[""Tbilisi: Kindzmarauli alley 5/7"",""Batumi: 135 of M. Lermontov""]"
LB ALUMINUM LTD,GÜRCİSTAN,122,"$4,962,753","[""enquiry@fplab.com.my"",""albemetal@lbalum.com.my"",""sales@sems.com.my"",""enquiry@lbalum.com.my"",""albemktg@lbalum.com.my""]","[""https://www.lbalum.com""]","[""+60387258822"",""+60387258828"",""+60387258866"",""+60387258920"",""+60387258833"",""+60387258886"",""+6073550545"",""+6073550549"",""+6063373389"",""+6063372389""]","[""Lot 11, Jalan Perusahaan 1, Kawasan Perusahaan Beranang, 43700 Beranang, Semenyih, Selangor Darul Ehsan, Malaysia""]"
LTD LB ALUMINYUM,GÜRCİSTAN,103,"$4,465,226","[""mamuka1881@gmail.com"",""lashaado@gmail.com""]",,"[""+995597235534""]","[""P. Sarajishvilis 11, Tbilisi, Georgia""]"
UPTRADE LLC,GÜRCİSTAN,72,"$4,137,845","[""Info@uptrade.ge"",""info@uptrade.ge""]","[""https://uptrade.ge/en/"",""www.uptrade.ge""]","[""+995555111401"",""0645776775"",""5555111401"",""(555) 11 14 01""]","[""Tbilisi: Kindzmarauli alley 5/7"",""Batumi: 135 of M. Lermontov"",""Tbilisi, SAMGORI, 5/7 Kindzmarauli Lane""]"
IMPEX SERVICE LTD.,GÜRCİSTAN,195,"$3,512,007","[""poti@ets.ge""]","[""http://www.ets.ge""]","[""+995493270005""]","[""15, V. Gegidze Str. 4401 POTI, Georgia""]"
LGG ALU	LLC,GÜRCİSTAN,935,"$3,435,594","[""sales@lgg.ge"",""lggzura@yahoo.com"",""lggalullc@gmail.com""]","[""https://www.lgg.ge/""]","[""+995 032 250 50 12"",""032 250 50 12"",""(579) 77 79 45"",""0461544148""]","[""8 Parsadani st. Tbilisi, Georgia"",""35 Ksani St., SANZONA, Tbilisi, Georgia""]"
LTD DATA - 88,GÜRCİSTAN,140,"$3,111,590","[""companydata.pvc@gmail.com""]","[""https://datapvc.ge"",""https://www.facebook.com/LTDDATA""]","[""+995557242448"",""+995557242432"",""+995557568537"",""+995557568537""]","[""Tbilisi, SAMGORI, 5 Samgori St., Georgia""]"
LTD ALUTECH GEORGIA,GÜRCİSTAN,58,"$2,580,577","[""info@alu.ge""]","[""https://alu.ge""]","[""599 25 63 63""]","[""Kiziki Str. N24, Tbilisi, Georgia""]"
LTD BORA,GÜRCİSTAN,86,"$1,451,034","[""mogreeninternationalltd@gmail.com""]",,"[""+8616621075894"",""2677098000"",""2718479801"",""2718492235"",""2718505729"",""2718533237"",""2718542908"",""0661929000"",""3066192900"",""2270780466"",""0111922407"",""0679600554"",""0717745050"",""0834143834"",""5208341438""]","[""0168, город тбилиси, улица киндзмараули, 15""]"
